"auto_seq_no","timestamp","source_document","keyword_anchor","context_snippet","mapped_target_file","mapped_target_page","resolution_type"
"TOC-18","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4","Table of Contents entry","2.4-nonclinical-overview.pdf","3","TOC Internal Link"
"TOC-19","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4","Table of Contents entry","2.4-nonclinical-overview.pdf","3","TOC Internal Link"
"20","2026-05-28 15:48:49","2.5-clinical-overview.pdf","Section 2.5","...""Clinical Overview"" -->  PharmaCorp Inc. NDA 123456   # Nexivarin 10 mg Tablets Section 2.5  Clinical Overview   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</t...","2.5-clinical-overview.pdf","1","Base Module Match"
"21","2026-05-28 15:48:50","2.5-clinical-overview.pdf","Section 2.5.1","...elopment rationale, including disease background and unmet need, is provided in Section 2.5.1 and the Clinical Overview Appendices.  The epidemiology of hypertension and the...","2.5-clinical-overview.pdf","1","Base Module Match"
"22","2026-05-28 15:51:02","2.5-clinical-overview.pdf","Section 2.7.2","...e full clinical pharmacology summary and population PK analyses are provided in Section 2.7.2. Individual clinical pharmacology study reports are in Module 5 (Section 5.3.1)...","2.5-clinical-overview.pdf","3","2.5.3 Overview of Clinical Pharmacology"
"23","2026-05-28 15:52:56","2.5-clinical-overview.pdf","Section 5.3.4","...s presented in Table 2.5-3. The complete integrated safety data are provided in Section 5.3.4 (Module 5 - Integrated Summary of Safety).   <table> <tr> <th>Parameter</th> <t...","5.3.4-integrated-safety.pdf","3","Section 5.3.4 Integrated Summary of Safety"
"TOC-24","2026-05-28 15:54:29","2.5-clinical-overview.pdf","2.5.1","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-25","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5.5","Table of Contents entry","2.5-clinical-overview.pdf","4","TOC Internal Link"
"TOC-26","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5.4","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-27","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5.3","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-28","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5.6","Table of Contents entry","2.5-clinical-overview.pdf","4","TOC Internal Link"
"TOC-29","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5.2","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-30","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-31","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"TOC-32","2026-05-28 15:54:30","2.5-clinical-overview.pdf","2.5","Table of Contents entry","2.5-clinical-overview.pdf","3","TOC Internal Link"
"1","2026-05-29 12:10:34","2.2-introduction.pdf","Section 2.2","...der=""CTD Introduction"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.2  CTD Introduction   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td...","2.2-introduction.pdf","1","Base Module Match"
"2","2026-05-29 12:10:44","2.2-introduction.pdf","Section 3.2.S.1","...neral information, nomenclature, and physicochemical properties are provided in Section 3.2.S.1 of Module 3.  Refer to Section 3.2.S.1 (Module 3) for the complete nomenclature...","3.2.S.1-general-info.pdf","3","Nexivarin 10 mg Tablets - eCTD Submission Module 3 - Quality"
"3","2026-05-29 12:14:30","2.2-introduction.pdf","Section 5.3.4","...lts are detailed in Section 5.3.4.2; the integrated safety data are provided in Section 5.3.4.  The Phase III efficacy and safety results are summarized in Section 2.5 of th...","5.3.4-integrated-safety.pdf","3","Section 5.3.4 Integrated Summary of Safety"
"4","2026-05-29 12:14:37","2.2-introduction.pdf","Section 2.5","...in Section 5.3.4.  The Phase III efficacy and safety results are summarized in Section 2.5 of this Module 2 submission. Full clinical study reports are filed in Module 5,...","5.2-tabular-listing.pdf","3","Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports"
"TOC-5","2026-05-29 12:14:41","2.2-introduction.pdf","2.2.4","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-6","2026-05-29 12:14:41","2.2-introduction.pdf","2.2.3","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-7","2026-05-29 12:14:41","2.2-introduction.pdf","2.2.1","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-8","2026-05-29 12:14:41","2.2-introduction.pdf","2.2.2","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-9","2026-05-29 12:14:41","2.2-introduction.pdf","2.2","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-10","2026-05-29 12:14:41","2.2-introduction.pdf","2.2","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
"TOC-11","2026-05-29 12:14:41","2.2-introduction.pdf","2.2","Table of Contents entry","2.2-introduction.pdf","3","TOC Internal Link"
